"trainer/global_step","Group: text10-vision0 - _step","Group: text10-vision0 - _step__MIN","Group: text10-vision0 - _step__MAX","Group: text10-vision0 - evaluation/pseudo_perplexity","Group: text10-vision0 - evaluation/pseudo_perplexity__MIN","Group: text10-vision0 - evaluation/pseudo_perplexity__MAX","Group: text10-vision1 - _step","Group: text10-vision1 - _step__MIN","Group: text10-vision1 - _step__MAX","Group: text10-vision1 - evaluation/pseudo_perplexity","Group: text10-vision1 - evaluation/pseudo_perplexity__MIN","Group: text10-vision1 - evaluation/pseudo_perplexity__MAX","Group: text10-vision100 - _step","Group: text10-vision100 - _step__MIN","Group: text10-vision100 - _step__MAX","Group: text10-vision100 - evaluation/pseudo_perplexity","Group: text10-vision100 - evaluation/pseudo_perplexity__MIN","Group: text10-vision100 - evaluation/pseudo_perplexity__MAX","Group: text10-vision10 - _step","Group: text10-vision10 - _step__MIN","Group: text10-vision10 - _step__MAX","Group: text10-vision10 - evaluation/pseudo_perplexity","Group: text10-vision10 - evaluation/pseudo_perplexity__MIN","Group: text10-vision10 - evaluation/pseudo_perplexity__MAX"
"6374","8355.5","8355","8356","9.185438632965088","9.180055618286133","9.190821647644043","8606","8606","8606","10.505084991455078","10.505084991455078","10.505084991455078","8606","8606","8606","14.723154067993164","14.723154067993164","14.723154067993164","8606","8606","8606","13.81900405883789","13.81900405883789","13.81900405883789"
"6499","8552.5","8552","8553","9.106383800506592","9.091172218322754","9.12159538269043","8808","8808","8808","10.350887298583984","10.350887298583984","10.350887298583984","8808","8808","8808","14.58111572265625","14.58111572265625","14.58111572265625","8808","8808","8808","13.548498153686523","13.548498153686523","13.548498153686523"
"6624","8684.5","8684","8685","8.935470581054688","8.928449630737305","8.94249153137207","8945","8945","8945","10.302051544189453","10.302051544189453","10.302051544189453","8945","8945","8945","13.926795959472656","13.926795959472656","13.926795959472656","8945","8945","8945","13.515092849731445","13.515092849731445","13.515092849731445"
"6749","8881.5","8881","8882","8.92060136795044","8.904902458190918","8.936300277709961","9147","9147","9147","10.180965423583984","10.180965423583984","10.180965423583984","9147","9147","9147","13.635360717773438","13.635360717773438","13.635360717773438","9147","9147","9147","13.114959716796875","13.114959716796875","13.114959716796875"
"6874","9013.5","9013","9014","8.839285373687744","8.775031089782715","8.903539657592773","9284","9284","9284","10.158653259277344","10.158653259277344","10.158653259277344","9284","9284","9284","13.499691009521484","13.499691009521484","13.499691009521484","9284","9284","9284","13.107263565063477","13.107263565063477","13.107263565063477"
"6999","9210.5","9210","9211","8.742836475372314","8.693325996398926","8.792346954345703","9486","9486","9486","10.056415557861328","10.056415557861328","10.056415557861328","9486","9486","9486","13.391027450561523","13.391027450561523","13.391027450561523","9486","9486","9486","12.977227210998535","12.977227210998535","12.977227210998535"
"7124","9342.5","9342","9343","8.670545101165771","8.661974906921387","8.679115295410156","9623","9623","9623","9.950536727905273","9.950536727905273","9.950536727905273","9623","9623","9623","13.29072380065918","13.29072380065918","13.29072380065918","9623","9623","9623","12.828946113586426","12.828946113586426","12.828946113586426"
"7249","9539.5","9539","9540","8.601320266723633","8.564682006835938","8.637958526611328","9825","9825","9825","9.925384521484375","9.925384521484375","9.925384521484375","9825","9825","9825","13.209882736206055","13.209882736206055","13.209882736206055","9825","9825","9825","12.86050033569336","12.86050033569336","12.86050033569336"
"7374","9671.5","9671","9672","8.57152795791626","8.556068420410156","8.586987495422363","9962","9962","9962","9.831249237060547","9.831249237060547","9.831249237060547","9962","9962","9962","12.967975616455078","12.967975616455078","12.967975616455078","9962","9962","9962","12.821924209594727","12.821924209594727","12.821924209594727"
"7499","9868.5","9868","9869","8.503769397735596","8.490604400634766","8.516934394836426","10164","10164","10164","9.856460571289062","9.856460571289062","9.856460571289062","10600.5","10164","11037","13.48796033859253","12.914820671081543","14.061100006103516","10164","10164","10164","12.870464324951172","12.870464324951172","12.870464324951172"
"7624","10000.5","10000","10001","8.443578720092773","8.416400909423828","8.470756530761719","10301","10301","10301","9.674047470092773","9.674047470092773","9.674047470092773","10737.5","10301","11174","12.741498470306396","12.609841346740723","12.87315559387207","10436","10301","10571","13.297413349151611","12.836196899414062","13.75862979888916"
"7749","10197.5","10197","10198","8.387436866760254","8.356583595275879","8.418290138244629","10503","10503","10503","9.605108261108398","9.605108261108398","9.605108261108398","11037","10698","11376","13.53872013092041","12.215255737304688","14.862184524536133","10773","10773","10773","12.454438209533691","12.454438209533691","12.454438209533691"
"7874","10329.5","10329","10330","8.308127880096436","8.286147117614746","8.330108642578125","10640","10640","10640","9.559627532958984","9.559627532958984","9.559627532958984","11174","10835","11513","12.580225467681885","12.021048545837402","13.139402389526367","10910","10910","10910","12.077203750610352","12.077203750610352","12.077203750610352"
"7999","10526.5","10526","10527","8.298990726470947","8.26048469543457","8.337496757507324","11485.5","10842","12129","11.828718900680542","9.540360450744629","16.36656379699707","11715","11715","11715","11.866547584533691","11.866547584533691","11.866547584533691","11112","11112","11112","11.871966361999512","11.871966361999512","11.871966361999512"
"8124","10658.5","10658","10659","8.246686458587646","8.215731620788574","8.277641296386719","11182","11182","11182","9.540955543518066","9.540955543518066","9.540955543518066","11852","11852","11852","11.74055004119873","11.74055004119873","11.74055004119873","11249","11249","11249","11.78032398223877","11.78032398223877","11.78032398223877"
"8249","10855.5","10855","10856","8.21602487564087","8.189862251281738","8.2421875","11384","11384","11384","9.435270309448242","9.435270309448242","9.435270309448242","12054","12054","12054","11.662962913513184","11.662962913513184","11.662962913513184","11451","11451","11451","11.645939826965332","11.645939826965332","11.645939826965332"
"8374","10987.5","10987","10988","8.143027782440186","8.127391815185547","8.158663749694824","11894","11521","12267","9.466869831085205","9.289759635925293","9.643980026245117","12231","12191","12271","12.402735233306885","11.606707572937012","13.198762893676758","11588","11588","11588","11.563187599182129","11.563187599182129","11.563187599182129"
"8386","","","","","","","","","","","","","12201.5","12198","12205","11.68635368347168","11.68635368347168","11.68635368347168","","","","","",""
"8469","","","","","","","","","","","","","","","","","","","11866.5","11863","11870","14.079035758972168","14.079035758972168","14.079035758972168"
"8477","","","","","","","","","","","","","","","","","","","11728.5","11725","11732","11.616372108459473","11.616372108459473","11.616372108459473"
"8499","11184.5","11184","11185","8.124406337738037","8.050251960754395","8.19856071472168","12096","11723","12469","9.167369842529297","9.09221363067627","9.242526054382324","12473","12473","12473","11.96941089630127","11.96941089630127","11.96941089630127","12066","12066","12066","13.872565269470215","13.872565269470215","13.872565269470215"
"8624","11316.5","11316","11317","8.051661968231201","8.003173828125","8.100150108337402","12606","12606","12606","8.935925483703613","8.935925483703613","8.935925483703613","12610","12610","12610","11.743967056274414","11.743967056274414","11.743967056274414","12203","12203","12203","12.104395866394043","12.104395866394043","12.104395866394043"
"8749","11513.5","11513","11514","7.996493816375732","7.9431562423706055","8.04983139038086","12808","12808","12808","8.926227569580078","8.926227569580078","8.926227569580078","12812","12812","12812","11.772319793701172","11.772319793701172","11.772319793701172","12405","12405","12405","11.858467102050781","11.858467102050781","11.858467102050781"
"8874","11645.5","11645","11646","7.967451333999634","7.958012580871582","7.9768900871276855","12945","12945","12945","8.817252159118652","8.817252159118652","8.817252159118652","12949","12949","12949","11.386102676391602","11.386102676391602","11.386102676391602","12542","12542","12542","11.78869915008545","11.78869915008545","11.78869915008545"
"8999","11842.5","11842","11843","7.938676118850708","7.938230037689209","7.939122200012207","13147","13147","13147","8.794881820678711","8.794881820678711","8.794881820678711","13151","13151","13151","11.237009048461914","11.237009048461914","11.237009048461914","12744","12744","12744","11.43941879272461","11.43941879272461","11.43941879272461"
"9124","11974.5","11974","11975","7.902093172073364","7.866458892822266","7.937727451324463","13284","13284","13284","8.74981689453125","8.74981689453125","8.74981689453125","13288","13288","13288","11.25889778137207","11.25889778137207","11.25889778137207","12881","12881","12881","11.38041877746582","11.38041877746582","11.38041877746582"
"9249","12171.5","12171","12172","7.923918008804321","7.890925884246826","7.956910133361816","13486","13486","13486","8.643195152282715","8.643195152282715","8.643195152282715","13490","13490","13490","11.326459884643555","11.326459884643555","11.326459884643555","13083","13083","13083","11.212489128112793","11.212489128112793","11.212489128112793"
"9374","12303.5","12303","12304","7.886639356613159","7.869662761688232","7.903615951538086","13623","13623","13623","8.657505989074707","8.657505989074707","8.657505989074707","13627","13627","13627","11.21550178527832","11.21550178527832","11.21550178527832","13220","13220","13220","11.053129196166992","11.053129196166992","11.053129196166992"
"9499","12500.5","12500","12501","7.833297491073608","7.831708908081055","7.834886074066162","13825","13825","13825","8.581372261047363","8.581372261047363","8.581372261047363","13829","13829","13829","10.94975757598877","10.94975757598877","10.94975757598877","13422","13422","13422","10.989127159118652","10.989127159118652","10.989127159118652"
